Snyder_PEB-1_GFP_L2	Snyder	Snyder					NOT RELEASED							2010-10-22		uploaded	3227		
Snyder_SMA-9_GFP_L2	Snyder	Snyder					NOT RELEASED							2010-10-22		uploaded	3228		
E8-16_GFP[eve]	White	White					NOT RELEASED							2010-10-25		uploaded	3241		
Kc_K4Me3	White	White					NOT RELEASED							2010-10-25		uploaded	3244		
Kc_Trl	White	White					NOT RELEASED							2010-10-25		uploaded	3245		
H3 antibody2.S2	Karpen	Karpen					NOT RELEASED							2010-11-11		uploaded	3301		
DNase_I_Hypersensitive_Sites.BG3	Karpen	Karpen					NOT RELEASED							2010-12-10		uploaded	3323		
DNase_I_Hypersensitive_Sites.S2	Karpen	Karpen					NOT RELEASED							2010-12-10		uploaded	3324		
DNase_I_Hypersensitive_Sites.Kc	Karpen	Karpen					NOT RELEASED							2010-12-10		uploaded	3325		
ChIP-seq BLMP1_L1_peaks	Snyder	Gerstein	ChIP-seq	gene model			1		Caenorhabditis elegans					2010-12-14		uploaded	3331		BLMP1.gff3
Snyder_DPL-1_GFP_L4	Snyder	Snyder					NOT RELEASED							2011-01-11		uploaded	3366		
Snyder_C16A3.4_GFP_L1	Snyder	Snyder					NOT RELEASED							2011-01-11		uploaded	3367		
Snyder_C30G4.7_GFP_L4	Snyder	Snyder					NOT RELEASED							2011-01-11		uploaded	3368		
Snyder_SKN-1_GFP_L2	Snyder	Snyder					NOT RELEASED							2011-01-11		uploaded	3369		
Snyder_GEI-11_GFP_L1	Snyder	Snyder					NOT RELEASED							2011-01-11		uploaded	3373		
Snyder_F45C12.2_GFP_L2	Snyder	Snyder					NOT RELEASED							2011-01-13		uploaded	3379		
Snyder_ALY-2_GFP_L2	Snyder	Snyder					NOT RELEASED							2011-01-13		uploaded	3383		
EcR_WPP-4-5h	White	White					NOT RELEASED							2011-01-31		uploaded	3398		
15T_8-16_NW_GFP	White	White					NOT RELEASED							2011-01-31		uploaded	3402		
RNA_Expression_N2_EEMB	Lieb	Strome					NOT RELEASED							2011-02-24		uploaded	3433		
AB6002_H3K27ME3_N2_L3_LM	Lieb	Ahringer					NOT RELEASED							2011-02-24		uploaded	3436		
