1011	RNA-seq
1011	RNA-seq
1012	RNA-seq
1012	RNA-seq
1013	RNA-seq
1013	RNA-seq
1014	RNA-seq
1014	RNA-seq
1015	RNA-seq
1015	RNA-seq
1016	RNA-seq
1016	RNA-seq
1017	RNA-seq
1017	RNA-seq
1018	RNA-seq
1018	RNA-seq
1019	RNA-seq
1019	RNA-seq
1020	RNA-seq
1020	RNA-seq
1021	RNA-seq
1021	RNA-seq
1022	RNA-seq
1022	RNA-seq
1023	RNA-seq
1023	RNA-seq
1024	RNA-seq
1024	RNA-seq
1024	RNA-seq
1024	RNA-seq
1025	RNA-seq
1025	RNA-seq
1026	RNA-seq
1026	RNA-seq
1027	RNA-seq
1027	RNA-seq
1028	RNA-seq
1028	RNA-seq
1029	RNA-seq
1029	RNA-seq
1030	RNA-seq
1030	RNA-seq
1031	RNA-seq
1031	RNA-seq
1032	RNA-seq
1032	RNA-seq
1033	RNA-seq
1033	RNA-seq
1033	RNA-seq
1033	RNA-seq
1034	RNA-seq
1034	RNA-seq
2002	RNA-seq
2003	RNA-seq
2004	RNA-seq
2005	RNA-seq
2006	RNA-seq
2007	RNA-seq
2008	RNA-seq
2009	RNA-seq
2010	RNA-seq
2010	RNA-seq
2019	RNA-seq
2019	RNA-seq
2020	RNA-seq
2020	RNA-seq
2021	RNA-seq
2021	RNA-seq
2022	RNA-seq
2022	RNA-seq
2023	RNA-seq
2023	RNA-seq
2024	RNA-seq
2024	RNA-seq
2025	RNA-seq
2025	RNA-seq
2026	RNA-seq
2026	RNA-seq
2027	RNA-seq
2027	RNA-seq
2029	RNA-seq
2029	RNA-seq
2030	RNA-seq
2030	RNA-seq
2301	RNA-seq
2301	RNA-seq
2302	RNA-seq
2302	RNA-seq
2305	RNA-seq
2305	RNA-seq
2321	RNA-seq
2321	RNA-seq
2321	RNA-seq
2321	RNA-seq
2321	RNA-seq
2324	RNA-seq
2324	RNA-seq
2324	RNA-seq
2324	RNA-seq
2324	RNA-seq
2325	RNA-seq
2325	RNA-seq
2325	RNA-seq
2325	RNA-seq
2326	RNA-seq
2326	RNA-seq
2326	RNA-seq
2326	RNA-seq
2343	RNA-seq
2343	RNA-seq
2343	RNA-seq
2343	RNA-seq
2345	RNA-seq
2345	RNA-seq
2345	RNA-seq
2345	RNA-seq
2346	RNA-seq
2346	RNA-seq
2346	RNA-seq
2346	RNA-seq
2347	RNA-seq
2347	RNA-seq
2347	RNA-seq
2347	RNA-seq
2349	RNA-seq
2349	RNA-seq
2349	RNA-seq
2349	RNA-seq
2351	RNA-seq
2351	RNA-seq
2351	RNA-seq
2351	RNA-seq
2352	RNA-seq
2352	RNA-seq
2352	RNA-seq
2352	RNA-seq
2353	RNA-seq
2353	RNA-seq
2353	RNA-seq
2353	RNA-seq
2354	RNA-seq
2354	RNA-seq
2354	RNA-seq
2354	RNA-seq
2374	RNA-seq
2374	RNA-seq
2375	RNA-seq
2375	RNA-seq
2376	RNA-seq
2376	RNA-seq
2381	RNA-seq
2381	RNA-seq
2387	RNA-seq
2387	RNA-seq
2387	RNA-seq
2387	RNA-seq
2416	ChIP-seq
2416	ChIP-seq
2416	ChIP-seq
2416	ChIP-seq
2416	ChIP-seq
2416	ChIP-seq
2416	ChIP-seq
2416	ChIP-seq
2416	ChIP-seq
2416	ChIP-seq
2416	ChIP-seq
2418	ChIP-seq
2418	ChIP-seq
2418	ChIP-seq
2418	ChIP-seq
2418	ChIP-seq
2418	ChIP-seq
2418	ChIP-seq
2418	ChIP-seq
2418	ChIP-seq
2429	ChIP-seq
2429	ChIP-seq
2429	ChIP-seq
2429	ChIP-seq
2429	ChIP-seq
2429	ChIP-seq
2430	ChIP-seq
2430	ChIP-seq
2430	ChIP-seq
2430	ChIP-seq
2430	ChIP-seq
2430	ChIP-seq
2431	ChIP-seq
2431	ChIP-seq
2431	ChIP-seq
2431	ChIP-seq
2431	ChIP-seq
2431	ChIP-seq
2432	ChIP-seq
2432	ChIP-seq
2432	ChIP-seq
2432	ChIP-seq
2432	ChIP-seq
2432	ChIP-seq
2433	ChIP-seq
2433	ChIP-seq
2433	ChIP-seq
2433	ChIP-seq
2433	ChIP-seq
2433	ChIP-seq
2435	ChIP-seq
2435	ChIP-seq
2435	ChIP-seq
2435	ChIP-seq
2435	ChIP-seq
2435	ChIP-seq
2436	ChIP-seq
2436	ChIP-seq
2436	ChIP-seq
2436	ChIP-seq
2436	ChIP-seq
2436	ChIP-seq
2437	ChIP-seq
2437	ChIP-seq
